type,district,Place ,Address,city,state,Service,Age,NeedstoRegister,Incomebased,opendate,hours,Phone,latitude,longitude
school,Sunnyside,Craycroft Elementary,5455 East Littletown Road,Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,7:30 am-10 am,,32.1345295,-110.87565
school,Sunnyside,Drexel Elementary,801 East Drexel,Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,7:30 am-10 am,,32.1493661,-110.95957
school,Sunnyside,Elvira Elementary,250 West Elvira Road,Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,7:30 am-10 am,,32.1273787,-110.97237
school,Sunnyside,Los Amigos Elementary,2200 East Drexel Road,Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,7:30 am-10 am,,32.1483816,-110.93855
school,Sunnyside,Mission Manor Elementary School,600 West Santa Rosa Street,Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,7:30 am-10 am,,32.1419489,-110.9787
school,Amphiteather,Amphitheater High,"125 West Yavapai Road, Tucson",Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,10 am- 1pm,,32.2709152,-110.97489
school,Amphiteather,LM Prince Elementary School,"315 East Prince Road, Tucson",Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,10 am- 1pm,,32.2724751,-110.96794
school,Amphiteather,Canyon Del Oro High,"25 West Calle Concordia, Oro Valley",Oro Valley,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,10 am- 1pm,,32.4225881,-110.9767
school,Amphiteather,Coronado K-8 School,"3401 East Wilds Road, Tucson",Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,10 am- 1pm,,32.4761392,-110.92103
school,Amphiteather,Marion Donaldson Elementary,"2040 West Omar Drive, Tucson",Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,10 am- 1pm,,32.3337798,-111.01138
school,Amphiteather,Frances Owen Holaway Elementary,"3500 North Cherry Avenue, Tucson",Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,10 am- 1pm,,32.2708636,-110.94784
school,Amphiteather,Helen Keeling Elementary,"2837 North Los Altos, Tucson",Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,10 am- 1pm,,32.1569015,-110.87751
school,Amphiteather,La Cima Middle,"5600 North La Canada Drive, Tucson",Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,10 am- 1pm,,32.1569015,-110.87751
school,Amphiteather,Mesa Verde Elementary,"1661 W. Sage Street, Tucson",Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,10 am- 1pm,,32.357962,-111.00321
school,Amphiteather,EC Nash School,"515 West Kelso Street, Tucson",Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,10 am- 1pm,,32.2549296,-110.98078
school,Amphiteather,Rio Vista Elementary,"1351 East Limberlost Drive, Tucson",Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,10 am- 1pm,,32.2839452,-110.95166
school,Amphiteather,Lulu Walker School,"1750 West Roller Coaster Rd., Tucson",Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,10 am- 1pm,,32.3021136,-111.00252
mobile bus,Marana,Marana Cares Mobile,"Sandario Road and Anthony Road, near the Marana Congregation of Jehovah’s Witness Church",Marana,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,11 a.m. to noon,,32.4357077,-111.15359
mobile bus,Marana,Marana Cares Mobile,"6560 W. El Tiro Road, at the Marana Domestic Water Improvement District",Marana,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,12:30-1:30 p.m.,,32.4357077,-111.15359
community,Nogales,AJ Mitchell Elementary,"855 North Bautista Street, Nogales",Nogales,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 8-8:20 a.m.; Lunch 11:30-11:50 a.m.,,31.3477587,-110.93947
community,Nogales,Monte Carlo Park,"386 East Calle Sonora, Nogales",Nogales,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 8-8:20 a.m.; Lunch 11:30-11:50 a.m.,,31.3669412,-110.9242
community,Nogales,Mountain Points Apartments,"800 Baffert Drive, Nogales",Nogales,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 8:25-8:30 a.m.; Lunch Noon-12:20 p.m.,,31.3692635,-110.9165
community,Nogales,Boys & Girls Club,"590 North Tyler Avenue, Nogales",Nogales,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 8:25-8:40 a.m.; Lunch Noon-12:30 p.m.,,31.3624658,-110.93365
community,Nogales,Las Terrazas Apartment,"661 East Patagonia Highway, Nogales",Nogales,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 8-8:20 a.m.; Lunch 11:30-11:50 a.m.,,31.355892,-110.91733
community,Nogales,Salud Por Vida Community Center,"350 West Western Avenue, Nogales",Nogales,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 8:25-8:30 a.m.; Lunch Noon-12:20 p.m.,,31.3496839,-110.93672
community,Nogales,Villa Hermosa,"3208 N. Calle Villa Hermosa, Nogales",Nogales,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 8-8:20 a.m.; Lunch 11:30-11:50 a.m.,,31.3624658,-110.93365
