Name,Address,City,AZ,Days of Operation,Phone,Eligibility
Agua Fria Food & Clothing Bank,"405 E Harrison Dr, Avondale",Avondale,AZ,M-F 8am-Noon,623-932-9135,
All Faith Community Services,"214 S 5th St, Buckeye",Buckeye,AZ,M-F 8:30am-12:30pm,623-386-3513,Walk-ins served. No referral required. Call for requirements
Foothills Food Bank,"6038 E Hidden Valley Dr, Cave Creek",Cave Creek,AZ,"M,W 9am-3pm,T9am-3pm&5:30pm-8pm,Th10am-4pm&5:30pm-8:30pm,F10am-4pm",480-488-1145,Walk-ins served. No referral required. Photo ID and proof of address. Delivery available in some situations (call for details)
AZCEND,"345 S California St, Chandler",Chandler,AZ,"M-Noon-3pm, T-3pm-6pm, W-9am-Noon,Mobile F9am-11am",480-963-1423,Walk-ins served. No referral required. Photo ID and proof of address.
AZCEND: Chandler Senior Center,"202 E Boston St, Chandler",Chandler,AZ,Th 10am-11am,480-782-2721,Age 60 or older. Under age 60 with a documented disability. Walk-ins served. No referral required. Suggested donation of $2.50 per meal. Delivery available for disabled/homebound who prequalify
Buddhist Tzu Chi Foundation,"2145 W Elliot Rd, Chandler",Chandler,AZ,"T,W,F 9:30am-noon",480-838-6556,Walk-ins served. No referral required. Photo ID and proof of address.
Chandler CARE Center,"777 E Galveston St, Chandler",Chandler,AZ,"Mon, Tues, Wed, Fri: 8 a.m. - 11 a.m.",480-812-7900,Walk-ins served. No referral required. Must reside within Chandler. Each household may receive food no more than once every 2 weeks.
Harvest Compassion Center,"33 E Comstock Dr. #5, Chandler",Chandler,AZ,Mon & Sat 9 a.m. - 11:30 a.m.,480-686-8408,Walk-ins served. No referral required.
Matthew’s Crossing,"1368 N Arizona Ave Ste 112, Chandler",Chandler,AZ,"Mon, Tue, Thu, Fri: 9 a.m. - Noon,Wed: 4 p.m. - 6 p.m.",480-857-2296,Walk-ins served. No referral required. Photo ID and proof of address.
Salvation Army: Chandler Corps,"85 E Saragosa St, Chandler",Chandler,AZ,Tue - Fri 8:30 a.m. - 11:30 a.m.,480-963-2041,Walk-ins served. No referral required. Photo ID and proof of address.
